,Unit Coef %,P>|t|
balcony,41.27,0.0
built_in_kitchen,-8.525,0.0
cellar,3.076,0.096
count_choices_grocery,5.001,0.0
count_choices_shopping,14.958,0.0
courtage,14.442,0.0
distance_adult_education_m,0.002,0.072
distance_alex_min,0.321,0.004
distance_bus_m,0.005,0.038
distance_grundschule_m,0.003,0.294
distance_kita_m,0.05,0.0
distance_kudamm_min,-0.588,0.0
distance_medical_km,-0.3,0.925
distance_oberschule_m,-0.008,0.0
distance_ostkreuz_min,-0.1,0.411
distance_park_m,0.03,0.0
distance_post_secondary_m,0.002,0.017
distance_postdamerplatz_min,0.602,0.0
distance_to_grocery_m,0.01,0.0
distance_to_shopping_m,0.009,0.0
distance_transit_m,0.07,0.0
distance_university_m,-0.005,0.0
food_drink_activity_best,6.577,0.0
food_drink_activity_better,7.272,0.0
food_drink_activity_ok,6.919,0.0
food_drink_count_locations,0.02,0.338
food_drink_total_activity,0.001,0.0
garden,11.605,0.0
is_vacant,53.941,0.0
lift,23.974,0.0
living_space,0.001,0.002
number_rooms,1.959,0.0
private_seller,-1.617,0.741
rating_score_grocery,0.001,0.133
rating_score_shopping,-0.0,0.009
total_activity_parks,-0.0,0.0
weighted_average_rating_parks,140.873,0.0
